company,total_complaints
I had my original appointment for cut and balayage color on Friday at XXXX. The appointment lasted 5 hours and I left with a color far different than what I requested and lines where the dyed edges zigzagged jagged all around my head,1
When I was on the phone with the Wells Fargo fraud customer service representative,1
"My balance should be {$0.00}. It is some scam the company is using\"",1
"I have tried to dispute this twice with no luck The account has an address that i have never lived on Also the card that was opened under my name has one last name and i have two last names Which i have in all my personal documents including debit cards and government ids.\"",1
"It is likely that this unlawful and deceptive action of closing my account in an attempt to withold the rewards will decrease my credit score by more than XXXX  points.\"",1
"This extremely poor level of customer service is why I will never recommend a Macys credit card to anyone.\"",1
When I asked for refund for clear wrongdoing,1
ITEM REDEEMED ( XXXX ) XXXX XXXX CASH REWARDS APPLIED {$860.00} TOTAL ITEM REDEEMED ( XXXX ) ORDER TOTAL Rewards Redeemed : {$860.00} SHIP TO XXXX XXXX XXXX SHIPPING ADDRESS XXXX XXXX XXXX XXXX XXXX,1
Upon arriving at the XXXX XXXX to depart on the trip I was advised that the terms of the credit card had been changed,1
I've talked to customer support for hours ( including a manager ) and they refuse to give me a refund or tell me where ( if anywhere! ) I CAN use the card. Its worthless and unusable,1
He advised me of the XXXX options for reapplying. XXXX. In person at the doctors office or XXXX. Via the carecredit.com website I went to the website,1
It's been over a month and Bank of America has now denied my claim as to the dispute for charge for the stay,1
We thought it was a great idea since we wanted to do some home projects. I took out 2 separate my chase loans ( In XXXX {$4500.00},1
Since XX/XX/XXXX,1
"Thanks XXXX\"",1
I have multiple accounts/cards with Synchrony and am concerned with the way they do business to pray upon individuals for gain. I am fairly astute when it comes to matters of finance ( I work in financial services ) and understand the deferred interest programs. Even with this knowledge,1
"Card number : XXXX The amounts were charged in increments of $ XXXX getting up to {$28000.00}\"",1
I've called the bank,1
Unsatisfied with the options,1
I then get emails from Citibank ( XXXX XXXX,1
The next merchant,1
As soon as I became aware of the balance paid the balance in full. I provide this not to justify why the account was unpaid,1
"ACIMA CREDIT, LLC",1
During the years from XXXX we have purchased several cars and a cottage down in XXXX XXXX  XXXX Again nothing showed up about this account when doing the financing. In XXXX,1
The only items that were utilized were the ones ordered online and picked up by XXXX XXXX. These orders are order # XXXX,1
On XX/XX/,1
As soon as I became aware of this situation on XX/XX/2023,1
"I have also attached a screenshot of the full list of statement credits and payments that have been made since I opened my account.\"",1
I also hope that the CFPB will investigate the false statements made by Wells Fargo 's representatives- where they falsely claimed that I had been provided notice before the credit card account was closed. These statements are recorded on Wells Fargo 's telephone system in calls I made to the Executive Complaints Management Office in XX/XX/2023,1
Maintaining a positive credit history is of utmost importance to me,1
PREFERRED CREDIT INC,1
From the start,1
- Comenity Bank is continuing to impose additional interest and late fees to this day,1
ADP Inc.,1
"I filed a dispute with Capital one stating that this transaction was not made by me and they opened a dispute and temporarily credited my account. On XX/XX/2023 they re-debited my account for the same amount and did not provide an explanation. I am assuming that they are stating it was my charge since they re-debited my account. I filed a police report for this transaction ( attached below ) stating that this charge was made fraudulently on my account. Capital one needs to remove this charge permanently as I did not make this transaction as you can see in my statement on the police report.\"",1
"There is zero information on the comenity bank website about this matter either.\"",1
Given this development,1
XXXX I fill out my sensitive info for XXXX,1
The addition of a {$300.00} charge to the account balance for something which was to have been free of charge clearly constitutes a significant change in account terms. Even if it did not strictly constitute a significant change in account terms,1
Once again,1
I am the consumer and I am the living man and natural person and I am being ignored and not getting what i need in it's entirety. I know my consumer rights and I know that anytime my social security card is used and these companies access my credit card and then they send me a billing statement in the mail it is a double payment and I have sent in the coupon to pay the bill ( which is a security to me for the interest they made from securitizing my bond and they did not pay the taxes and all without my consent as I was lied to from the time i executed the Application for my XXXX Given Right to access my credit card. They need to go back and investigate the transactions that have taken place and they are not doing what I ask as the consumer. I have requested a full statement of account meaning the on and off ledger for all accounting and from the history and when this account was established and opened. I need the CFPB to conduct a full reinvestigation and confirm the mode of delivery. I need the following items to be sent to me as they are ignoring my demand for my own information. I need every copy of every billing statement,1
10 days later,1
"I have notified my lawyer and this complaint is the next step I have taken to resolve this issue.\"",1
Conduent Incorporated,1
After speaking to eight representatives,1
I've diligently followed every step they requested,1
I called the number provided,1
"CAPITAL ONE SAID THEY MAILED MY STATEMENT 4 TIMES AND SHOW DELIVERED AT XXXX XXXX  OR CLOSE EACH TIME. MY MAIL IS PUT IN A COMMUNITY MAIL BOX AT XXXX OR LATER EACH DAY BY POSTMAN. I CAN SEE MAYBE A POSTMAN MAKING 1 OR 2 MISTAKES BUT 4 ( FOUR ) IS BULL. I THINK THIS IS A SCAM BY CAPITAL ONE TO GET INTEREST FROM PEOPLE THAT PAY ON TIME AND DONT PAY THEM INTEREST. I HAVE A CREDIT SCORE BETWEEN XXXX AND ALWAYS FOR XXXX  YEARS PAID ON TIME.\"",1
Under 15 U.S.C. 1666B,1
As of today 's date,1
"Many people are falling for more scams as scammers are becoming more clever. I expected to be represented and given a lecture on scams but instead am being forced to pay on my credit card.\"",1
"Thank you. XXXX\"",1
On a personal level,1
"My funds are stuck/ lost for no lost of mine.\"",1
I find this reason very lame because in the first place,1
I then opened yet another claim with the fraud department over these charges on XXXX. In this claim,1
"15 USC 1666B : A creditor may not treat a payment on a credit card account under ar open end consumer credit plan as late for any purpose.\"",1
"I am asking please for this charged to be removed from my XXXX  and XXXX credit report.\"",1
During the years from XXXX we have purchased several cars and a cottage down in XXXX NC XXXX Again nothing showed up about this account when doing the financing. In XXXX,1
"According to the law transactions ( late payments ) are not to be on my consumer report. I understand the information reported is by choice and not required. Your company according law is violating my rights and breaking the law. I've communicated this information to you all twice now and in writing in the mail with no response.\"",1
"Truist is asking XXXX  XXXX XXXX to send me proof of the wire transfer with accounts and routing numbers which I have yet to receive. So basically XXXX XXXX XXXX say we sent Truist the money and Truist is saying they never received it and I am on the hook for this missing {$8400.00}. I do not know what else to do.\"",1
"I have tried over and over to pay these bills and now my account is closed and due to this activity my credit score have been affected tremendously. Very disappointed with Capital One. This has ruined a future for me trying to provide my family with their very first home.\"",1
Bottom line,1
You can also reach our account experts on phone if you have time to check for other available options we have to get the e-mail removed. Here 's our hotline : XXXX,1
-The card was not in my possession at all during the period that these transactions took place,1
"I have requested a refund of my money since this credit card is useless and they do not deserve my business.\"",1
"this is a very unscrupulous practice since I should have been notified they did not receive the information before taking such action against a customer.\"",1
I started contacting Lowes and the bank about the issue on XX/XX/XXXX,1
"It is worth noting that \\\" adding the minimum payment to the sum of all non-promotional balances from a statement '' is not a trivial task. Although the minimum payment is included at the top of billing statements",1
